Date,Name,Age,Weight,Length
2023-01-01,Frank,58.0,97.0,150.0
2023-01-02,Jack,48.0,72.0,168.0
2023-01-03,Jack,34.0,73.0,151.0
2023-01-04,Frank,27.0,86.0,193.0
2023-01-05,Alice,,,
2023-01-06,David,58.0,93.0,181.0
2023-01-07,Jack,38.0,89.0,155.0
2023-01-08,Frank,42.0,71.0,181.0
2023-01-09,Frank,30.0,76.0,153.0
2023-01-10,Eva,30.0,84.0,160.0
2023-01-11,Alice,43.0,50.0,166.0
2023-01-12,Helen,55.0,84.0,187.0
2023-01-13,Eva,59.0,86.0,173.0
2023-01-14,Eva,,,
2023-01-15,Grace,,,
2023-01-16,David,41.0,52.0,155.0
2023-01-17,Frank,21.0,50.0,171.0
2023-01-18,David,43.0,54.0,160.0
2023-01-19,Charlie,49.0,75.0,197.0
2023-01-20,Grace,57.0,63.0,165.0
2023-01-21,Helen,21.0,88.0,182.0
2023-01-22,David,40.0,76.0,158.0
2023-01-23,Bob,52.0,58.0,155.0
2023-01-24,Jack,31.0,64.0,165.0
2023-01-25,Charlie,41.0,64.0,178.0
2023-01-26,Alice,44.0,75.0,152.0
2023-01-27,Helen,46.0,91.0,169.0
2023-01-28,Charlie,47.0,62.0,185.0
2023-01-29,Jack,35.0,81.0,168.0
2023-01-30,Grace,34.0,88.0,175.0
2023-01-31,Jack,22.0,98.0,152.0
2023-02-01,Eva,56.0,81.0,168.0
2023-02-02,Jack,26.0,53.0,169.0
2023-02-03,Eva,,,
2023-02-04,Grace,28.0,86.0,156.0
2023-02-05,Ivy,58.0,72.0,190.0
2023-02-06,Eva,37.0,88.0,182.0
2023-02-07,Alice,23.0,94.0,189.0
2023-02-08,Jack,,,
2023-02-09,Jack,33.0,92.0,167.0
2023-02-10,Alice,28.0,78.0,189.0
2023-02-11,Bob,45.0,85.0,150.0
2023-02-12,Frank,21.0,62.0,160.0
2023-02-13,Ivy,39.0,81.0,177.0
2023-02-14,Helen,47.0,56.0,174.0
2023-02-15,Eva,26.0,71.0,199.0
2023-02-16,Alice,27.0,77.0,172.0
2023-02-17,Grace,54.0,51.0,180.0
2023-02-18,Eva,33.0,91.0,179.0
2023-02-19,Frank,36.0,94.0,191.0
2023-02-20,Grace,55.0,55.0,184.0
2023-02-21,Charlie,59.0,77.0,156.0
2023-02-22,Jack,23.0,77.0,165.0
2023-02-23,Charlie,21.0,93.0,175.0
2023-02-24,Eva,25.0,93.0,197.0
2023-02-25,Frank,23.0,69.0,198.0
2023-02-26,Ivy,48.0,79.0,151.0
2023-02-27,Eva,37.0,60.0,150.0
2023-02-28,Alice,45.0,77.0,197.0
2023-03-01,David,53.0,74.0,161.0
2023-03-02,Eva,29.0,88.0,154.0
2023-03-03,Jack,,,
2023-03-04,Jack,33.0,50.0,181.0
2023-03-05,Eva,50.0,76.0,158.0
2023-03-06,Grace,,,
2023-03-07,David,27.0,90.0,184.0
2023-03-08,Alice,33.0,52.0,168.0
2023-03-09,Eva,42.0,88.0,197.0
2023-03-10,Grace,59.0,55.0,165.0
2023-03-11,Jack,40.0,57.0,152.0
2023-03-12,Jack,35.0,76.0,169.0
2023-03-13,Frank,37.0,58.0,173.0
2023-03-14,Eva,43.0,86.0,182.0
2023-03-15,David,45.0,82.0,173.0
2023-03-16,Bob,,,
2023-03-17,David,48.0,93.0,198.0
2023-03-18,Jack,34.0,73.0,157.0
2023-03-19,Jack,20.0,64.0,185.0
2023-03-20,Charlie,,,
2023-03-21,Jack,26.0,81.0,189.0
2023-03-22,Alice,28.0,73.0,169.0
2023-03-23,Helen,43.0,90.0,184.0
2023-03-24,Eva,20.0,98.0,197.0
2023-03-25,David,27.0,98.0,174.0
2023-03-26,Helen,43.0,61.0,184.0
2023-03-27,Grace,30.0,88.0,174.0
2023-03-28,Bob,36.0,51.0,178.0
2023-03-29,Alice,27.0,52.0,167.0
2023-03-30,David,54.0,98.0,195.0
2023-03-31,Helen,54.0,86.0,167.0
2023-04-01,Bob,,,
2023-04-02,Charlie,24.0,66.0,184.0
2023-04-03,Alice,58.0,98.0,165.0
2023-04-04,Alice,47.0,51.0,190.0
2023-04-05,Charlie,26.0,51.0,185.0
2023-04-06,Eva,28.0,77.0,182.0
2023-04-07,Charlie,27.0,72.0,153.0
2023-04-08,Alice,31.0,86.0,182.0
2023-04-09,Alice,53.0,81.0,163.0
2023-04-10,Helen,52.0,82.0,170.0
